iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
WSM,Samoa,46.8,57.9,57.3,57.6,67.2,73.2,56,78.3,79,67.8,96.2,63.9,71.4,73.6,67.2,50,30,4139.02958723,6680.61138559324
STP,Sao Tome and Principe,35.9,40.9,37.5,39.2,60.5,51.6,46.6,61.4,88,80.5,87.8,52.5,41.5,60.6,65,60,30,2601.79054652115,6063.64509698689
SAU,Saudi Arabia,42.6,34.7,64,49.35,61.9,47.6,43.9,37,99.1,67.2,79.5,69.9,44.4,79.6,74.2,50,50,28894.963351808,54991.7231800239
SEN,Senegal,43.3,49.5,27.2,38.35,55.4,55.5,45.6,50.5,69,79.2,21.7,54,54.5,68,66.2,60,40,1745.97206754147,4833.03254280993
SRB,Serbia,49.3,31.6,82.6,57.1,62.7,58.6,36.8,50.4,87.1,36.3,73.9,74,67.8,70.9,76.6,70,50,11360.9595106966,27401.7890745341
SYC,Seychelles,48.2,80.2,53.9,67.05,60.4,72,72.1,65.2,79.1,54.6,12.4,76.9,50.8,77,80.2,55,30,17879.2396545075,32693.6402622878
SLE,Sierra Leone,39.7,38.2,17.7,27.95,44.6,33.6,34.9,42,87.4,76.6,1.7,31.7,23.7,60.2,63.6,60,20,433.37417433006,1846.6838573638
SGP,Singapore,53.8,53.6,99.9,76.75,83.5,94.2,88.3,58.3,90.7,89.2,76,86.9,77.3,76.3,95,90,80,84734.2559206054,141500.220277358
SVK,Slovakia,65,50.6,93,71.8,68.1,84.5,55.8,70.6,76.5,41.4,64.2,76.3,58.1,66.1,79.2,75,70,24470.238537883,44650.2028305074
SVN,Slovenia,62.5,45.8,91.5,68.65,65.9,88.2,60.6,91.9,57.4,27.1,47.4,79.1,65.4,74.1,79.2,70,50,32163.5114152484,54947.47013724
SLB,Solomon Islands,41.8,60.1,33.6,46.85,55,44.7,41.7,60.1,71.5,67.7,81.1,45.7,60.5,77.4,65.2,15,30,2203.1791258997,3034.85475159486
ZAF,South Africa,42.9,20.4,25.3,22.85,55.3,44.7,48,58.3,65.2,66.9,19.7,61.4,72.1,74.5,72.4,40,40,6253.16161272014,15847.4275604525
KOR,South Korea,51,44.5,91.1,67.8,73.1,88.3,69.2,76.9,59,78.9,91.6,85,57.2,77.3,73.4,60,60,33121.3712885508,54033.1599772519
ESP,Spain,64.2,56.2,91.6,73.9,63.3,87.2,64,73.6,57,26,0,79.7,63.6,74.1,84.2,80,70,32676.9837109377,52779.2340573703
LKA,Sri Lanka,38.7,20.1,53.7,36.9,49.2,51.8,36.9,49.4,77.5,88.2,0,53.4,55.1,49.2,69.2,30,30,3827.96480560557,14455.3016168039
